Bulan,Tanggal,Angsuran Pokok,Angsuran Bunga,Total Angsuran,Saldo Pinjaman,Suku Bunga
0,,0,0,0,415000000,
1,Nov 2023,1039192,1642708,2681900,413960808,4.75%
2,Des 2023,1043305,1638595,2681900,412917503,4.75%
3,Jan 2024,1047435,1634465,2681900,411870068,4.75%
4,Feb 2024,1051581,1630319,2681900,410818487,4.75%
5,Mar 2024,1055743,1626157,2681900,409762744,4.75%
6,Apr 2024,1059922,1621978,2681900,408702822,4.75%
7,Mei 2024,1064118,1617782,2681900,407638704,4.75%
8,Jun 2024,1068330,1613570,2681900,406570374,4.75%
9,Jul 2024,1072559,1609341,2681900,405497815,4.75%
10,Ags 2024,1076804,1605096,2681900,404421011,4.75%
11,Sep 2024,1081067,1600833,2681900,403339944,4.75%
12,Okt 2024,1085346,1596554,2681900,402254598,4.75%
13,Nov 2024,1089642,1592258,2681900,401164956,4.75%
14,Des 2024,1093955,1587945,2681900,400070999,4.75%
15,Jan 2025,1098286,1583614,2681900,398972713,4.75%
16,Feb 2025,1102633,1579267,2681900,397870080,4.75%
17,Mar 2025,1106998,1574902,2681900,396763082,4.75%
18,Apr 2025,1111379,1570521,2681900,395651703,4.75%
19,Mei 2025,1115779,1566121,2681900,394535924,4.75%
20,Jun 2025,1120195,1561705,2681900,393415729,4.75%
21,Jul 2025,1124629,1557271,2681900,392291100,4.75%
22,Ags 2025,1129081,1552819,2681900,391162019,4.75%
23,Sep 2025,1133550,1548350,2681900,390028469,4.75%
24,Okt 2025,1138037,1543863,2681900,388890432,4.75%
25,Nov 2025,1142542,1539358,2681900,387747889,4.75%
26,Des 2025,1147065,1534835,2681900,386600824,4.75%
27,Jan 2026,1151605,1530295,2681900,385449219,4.75%
28,Feb 2026,1156164,1525736,2681900,384293055,4.75%
29,Mar 2026,1160740,1521160,2681900,383132315,4.75%
30,Apr 2026,1165335,1516565,2681900,381966980,4.75%
31,Mei 2026,1169947,1511953,2681900,380797033,4.75%
32,Jun 2026,1174578,1507322,2681900,379622455,4.75%
33,Jul 2026,1179228,1502672,2681900,378443227,4.75%
34,Ags 2026,1183896,1498004,2681900,377259331,4.75%
35,Sep 2026,1188582,1493318,2681900,376070749,4.75%
36,Okt 2026,1193287,1488613,2681900,374877462,4.75%
37,Nov 2026,868217,2499183,3367400,374009247,8.00%
38,Des 2026,874005,2493395,3367400,373135242,8.00%
39,Jan 2027,879832,2487568,3367400,372255410,8.00%
40,Feb 2027,885697,2481703,3367400,371369713,8.00%
41,Mar 2027,891602,2475798,3367400,370478111,8.00%
42,Apr 2027,897546,2469854,3367400,369580565,8.00%
43,Mei 2027,903530,2463870,3367400,368677035,8.00%
44,Jun 2027,909553,2457847,3367400,367767482,8.00%
45,Jul 2027,915617,2451783,3367400,366851865,8.00%
46,Ags 2027,921721,2445679,3367400,365930144,8.00%
47,Sep 2027,927866,2439534,3367400,365002278,8.00%
48,Okt 2027,934051,2433349,3367400,364068227,8.00%
49,Nov 2027,940278,2427122,3367400,363127949,8.00%
50,Des 2027,946547,2420853,3367400,362181402,8.00%
51,Jan 2028,952857,2414543,3367400,361228545,8.00%
52,Feb 2028,959210,2408190,3367400,360269335,8.00%
53,Mar 2028,965604,2401796,3367400,359303731,8.00%
54,Apr 2028,972042,2395358,3367400,358331689,8.00%
55,Mei 2028,978522,2388878,3367400,357353167,8.00%
56,Jun 2028,985046,2382354,3367400,356368121,8.00%
57,Jul 2028,991613,2375787,3367400,355376508,8.00%
58,Ags 2028,998223,2369177,3367400,354378285,8.00%
59,Sep 2028,1004878,2362522,3367400,353373407,8.00%
60,Okt 2028,1011577,2355823,3367400,352361830,8.00%
61,Nov 2028,1018321,2349079,3367400,351343509,8.00%
62,Des 2028,1025110,2342290,3367400,350318399,8.00%
63,Jan 2029,1031944,2335456,3367400,349286455,8.00%
64,Feb 2029,1038824,2328576,3367400,348247632,8.00%
65,Mar 2029,1045749,2321651,3367400,347201883,8.00%
66,Apr 2029,1052721,2314679,3367400,346149162,8.00%
67,Mei 2029,1059739,2307661,3367400,345089423,8.00%
68,Jun 2029,1066804,2300596,3367400,344022619,8.00%
69,Jul 2029,1073916,2293484,3367400,342948703,8.00%
70,Ags 2029,1081075,2286325,3367400,341867628,8.00%
71,Sep 2029,1088282,2279118,3367400,340779345,8.00%
72,Okt 2029,1095538,2271862,3367400,339683808,8.00%
73,Nov 2029,914134,2901466,3815600,338769674,10.25%
74,Des 2029,921942,2893658,3815600,337847731,10.25%
75,Jan 2030,929817,2885783,3815600,336917914,10.25%
76,Feb 2030,937759,2877841,3815600,335980154,10.25%
77,Mar 2030,945770,2869830,3815600,335034385,10.25%
78,Apr 2030,953848,2861752,3815600,334080537,10.25%
79,Mei 2030,961995,2853605,3815600,333118542,10.25%
80,Jun 2030,970212,2845388,3815600,332148329,10.25%
81,Jul 2030,978500,2837100,3815600,331169829,10.25%
82,Ags 2030,986858,2828742,3815600,330182972,10.25%
83,Sep 2030,995287,2820313,3815600,329187685,10.25%
84,Okt 2030,1003789,2811811,3815600,328183896,10.25%
85,Nov 2030,1012363,2803237,3815600,327171533,10.25%
86,Des 2030,1021010,2794590,3815600,326150524,10.25%
87,Jan 2031,1029731,2785869,3815600,325120793,10.25%
88,Feb 2031,1038527,2777073,3815600,324082266,10.25%
89,Mar 2031,1047397,2768203,3815600,323034869,10.25%
90,Apr 2031,1056344,2759256,3815600,321978525,10.25%
91,Mei 2031,1065367,2750233,3815600,320913158,10.25%
92,Jun 2031,1074467,2741133,3815600,319838691,10.25%
93,Jul 2031,1083645,2731955,3815600,318755047,10.25%
94,Ags 2031,1092901,2722699,3815600,317662146,10.25%
95,Sep 2031,1102236,2713364,3815600,316559911,10.25%
96,Okt 2031,1111651,2703949,3815600,315448260,10.25%
97,Nov 2031,1121146,2694454,3815600,314327114,10.25%
98,Des 2031,1130723,2684877,3815600,313196391,10.25%
99,Jan 2032,1140381,2675219,3815600,312056010,10.25%
100,Feb 2032,1150122,2665478,3815600,310905889,10.25%
101,Mar 2032,1159946,2655654,3815600,309745943,10.25%
102,Apr 2032,1169853,2645747,3815600,308576090,10.25%
103,Mei 2032,1179846,2635754,3815600,307396244,10.25%
104,Jun 2032,1189924,2625676,3815600,306206320,10.25%
105,Jul 2032,1200088,2615512,3815600,305006232,10.25%
106,Ags 2032,1210338,2605262,3815600,303795894,10.25%
107,Sep 2032,1220677,2594923,3815600,302575217,10.25%
108,Okt 2032,1231103,2584497,3815600,301344114,10.25%
109,Nov 2032,1241619,2573981,3815600,300102495,10.25%
110,Des 2032,1252225,2563375,3815600,298850270,10.25%
111,Jan 2033,1262921,2552679,3815600,297587350,10.25%
112,Feb 2033,1273708,2541892,3815600,296313642,10.25%
113,Mar 2033,1284588,2531012,3815600,295029054,10.25%
114,Apr 2033,1295560,2520040,3815600,293733494,10.25%
115,Mei 2033,1306626,2508974,3815600,292426867,10.25%
116,Jun 2033,1317787,2497813,3815600,291109080,10.25%
117,Jul 2033,1329043,2486557,3815600,289780037,10.25%
118,Ags 2033,1340396,2475204,3815600,288439641,10.25%
119,Sep 2033,1351845,2463755,3815600,287087797,10.25%
120,Okt 2033,1363392,2452208,3815600,285724405,10.25%
121,Nov 2033,1375037,2440563,3815600,284349368,10.25%
